,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
426,6.0,1,42,2.0,5400,0,34328.666666666664,1
428,4.0,1,39,3.0,0,0,23622.5,1
429,3.0,2,36,2.0,1974,0,11062.5,1
430,3.5,1,51,2.0,5760,2172,53885.666666666664,1
431,2.0,1,62,1.0,900,300,5705.5,1
432,8.0,1,35,1.0,6450,0,20813.833333333332,1
433,5.0,1,61,1.0,0,0,17650.5,1
434,8.0,1,50,2.0,3810,2172,20936.333333333332,0
435,7.0,2,60,3.0,6480,3180,24623.666666666668,0
436,7.5,1,49,2.0,300,2286,21089.166666666668,0
437,11.5,1,59,2.0,0,3720,26329.666666666668,0
439,9.5,2,47,3.0,6000,7800,37641.666666666664,0
440,6.5,1,52,5.0,6600,2400,52833.333333333336,0
441,3.5,1,27,2.0,4200,1800,19105.666666666668,0
444,5.5,1,59,3.0,8400,30,21601.0,0
445,6.0,2,54,4.0,18600,5400,51968.166666666664,0
447,2.0,1,55,4.0,7200,2886,55338.333333333336,0
448,2.5,1,67,2.0,1080,300,11695.0,1
449,6.0,1,41,2.0,300,600,13666.166666666666,1
450,4.0,1,55,2.0,1188,0,20261.0,1
452,3.5,1,65,1.0,930,0,7478.5,1
453,4.0,1,34,1.0,600,0,12332.666666666666,1
454,5.0,1,45,4.0,894,0,9172.333333333334,1
455,8.0,1,39,1.0,480,0,11099.5,1
457,4.5,1,50,2.0,2664,0,21297.666666666668,1
458,2.0,2,78,1.0,144,0,6989.5,1
459,4.0,1,49,2.0,342,0,9273.666666666666,1
460,6.0,2,80,1.0,600,0,8550.333333333334,1
461,4.0,1,58,1.0,0,0,6342.5,1
462,9.5,1,48,2.0,4080,4086,28154.333333333332,1
463,6.0,1,43,2.0,7800,2346,32525.333333333332,1
464,7.0,1,47,2.0,0,2490,21015.0,1
465,3.5,2,80,4.0,8736,5568,34270.333333333336,1
466,3.5,2,57,1.0,5106,2886,20794.666666666668,1
467,5.0,1,50,2.0,16800,3690,42364.0,1
468,6.0,1,49,1.0,5838,0,28333.333333333332,1
469,3.5,2,55,2.0,1962,2172,10531.666666666666,1
470,5.5,1,51,2.0,6000,0,25296.166666666668,1
471,3.0,2,66,1.0,4200,2892,16375.0,1
472,5.5,2,53,4.0,8700,4800,54561.666666666664,1
473,3.0,2,43,2.0,900,2172,11008.333333333334,1
474,3.0,1,45,1.0,564,0,11871.333333333334,0
475,8.0,1,65,1.0,4260,0,24810.833333333332,0
476,6.0,1,40,1.0,600,0,21830.666666666668,0
477,5.0,1,53,2.0,360,0,9787.5,0
478,4.0,2,50,1.0,2100,0,19985.333333333332,0
479,7.0,2,54,2.0,960,0,12013.333333333334,0
480,2.5,2,48,1.0,360,0,11494.666666666666,0
481,4.0,2,65,1.0,660,0,10193.666666666666,0
482,5.0,1,45,5.0,0,0,11349.0,0
483,6.5,2,59,1.0,900,0,9805.333333333334,0
484,6.0,1,50,1.0,0,0,6619.666666666667,0
485,4.5,2,39,2.0,0,0,4875.0,0
486,8.5,1,43,2.0,1380,0,26794.333333333332,0
487,11.0,1,46,2.0,1068,0,11007.0,0
488,6.0,1,40,2.0,960,0,16359.333333333334,0
489,1.5,1,44,1.0,0,1200,11580.5,0
490,4.0,2,59,4.0,5430,4080,31837.333333333332,0
491,9.5,1,66,4.0,4344,3684,31445.833333333332,0
492,4.5,1,49,3.0,3702,0,36920.833333333336,0
493,4.5,1,56,2.0,1854,0,30735.166666666668,0
494,7.0,1,49,2.0,3600,4686,23853.0,0
496,3.0,1,64,2.0,17400,2172,45374.833333333336,0
499,11.0,1,53,3.0,0,0,15299.0,0
500,2.0,1,49,1.0,708,0,8086.5,0
501,2.0,1,60,1.0,120,0,12029.833333333334,0
502,8.0,1,44,2.0,0,0,16957.666666666668,0
503,5.0,1,40,1.0,0,0,6089.333333333333,0
504,6.0,1,42,1.0,1476,0,13628.833333333334,0
505,7.5,1,48,1.0,3270,0,23782.166666666668,0
506,5.5,2,68,1.0,0,0,12218.666666666666,0
507,9.5,1,67,1.0,1608,0,18072.166666666668,0
508,4.5,1,70,2.0,1638,0,31337.833333333332,0
509,5.0,1,43,2.0,1080,0,13966.333333333334,0
510,4.5,1,56,2.0,750,0,16190.5,0
511,1.5,1,63,1.0,3240,30,25578.333333333332,0
512,4.0,1,40,1.0,600,0,10321.5,0
513,4.5,1,66,1.0,300,0,7179.333333333333,0
514,4.0,2,44,2.0,570,0,15539.666666666666,0
515,6.0,1,46,3.0,270,0,23159.333333333332,0
516,6.5,1,71,1.0,300,0,10374.333333333334,0
517,5.0,1,41,2.0,798,0,27486.333333333332,0
518,6.0,1,36,2.0,1200,0,14502.0,0
519,5.0,1,48,2.0,480,0,12337.166666666666,0
520,4.0,1,27,2.0,1200,0,13855.333333333334,0
521,6.5,1,38,1.0,1650,0,13928.166666666666,0
522,5.5,2,48,2.0,570,0,7856.5,0
524,4.0,1,54,1.0,2760,0,35199.5,0
525,3.0,1,62,1.0,246,0,6029.666666666667,0
526,3.5,1,58,1.0,0,0,6469.5,0
527,8.5,1,37,2.0,840,900,16511.166666666668,0
528,7.0,1,47,1.0,858,300,24404.0,0
529,3.0,1,57,1.0,2880,0,37007.166666666664,0
530,5.0,1,48,1.0,900,0,12752.666666666666,0
531,3.0,1,34,1.0,2520,0,22755.333333333332,0
532,8.0,1,33,2.0,222,0,19440.666666666668,0
533,6.0,1,35,5.0,5760,0,49438.166666666664,0
534,2.0,1,58,1.0,2220,0,10205.0,0
535,8.5,1,48,1.0,2700,0,14542.666666666666,0
536,3.0,2,32,4.0,8892,240,28590.0,0
538,2.0,1,50,3.0,12600,5100,40349.0,0
539,6.5,1,38,2.0,3600,0,23193.0,0
540,4.0,1,54,2.0,6294,0,22242.333333333332,0
541,3.0,1,64,1.0,2820,600,11097.833333333334,0
542,5.0,2,46,3.0,10608,0,30207.333333333332,0
